Value,Depth,Log,Well,Type
54.846258,2977.46589,Deep_RES,100021806218W500,Induction(oohm)
51.46175402,2977.370674,Deep_RES,100021806218W500,Induction(oohm)
49.53214482,2977.317775,Deep_RES,100021806218W500,Induction(oohm)
47.07140916,2977.222564,Deep_RES,100021806218W500,Induction(oohm)
45.16236001,2977.14851,Deep_RES,100021806218W500,Induction(oohm)
43.46895279,2977.063881,Deep_RES,100021806218W500,Induction(oohm)
43.3307351,2976.936957,Deep_RES,100021806218W500,Induction(oohm)
44.7329218,2976.767739,Deep_RES,100021806218W500,Induction(oohm)
45.88727128,2976.683134,Deep_RES,100021806218W500,Induction(oohm)
46.62381826,2976.598525,Deep_RES,100021806218W500,Induction(oohm)
47.52329696,2976.461033,Deep_RES,100021806218W500,Induction(oohm)
48.13256944,2976.334115,Deep_RES,100021806218W500,Induction(oohm)
48.90515621,2976.217776,Deep_RES,100021806218W500,Induction(oohm)
49.84864708,2976.027399,Deep_RES,100021806218W500,Induction(oohm)
50.0076558,2975.921632,Deep_RES,100021806218W500,Induction(oohm)
51.29812172,2975.720681,Deep_RES,100021806218W500,Induction(oohm)
52.62188859,2975.583191,Deep_RES,100021806218W500,Induction(oohm)
54.1520022,2975.445703,Deep_RES,100021806218W500,Induction(oohm)
55.54941451,2975.361098,Deep_RES,100021806218W500,Induction(oohm)
57.34699883,2975.244764,Deep_RES,100021806218W500,Induction(oohm)
59.01450689,2975.149583,Deep_RES,100021806218W500,Induction(oohm)
61.5090974,2975.022676,Deep_RES,100021806218W500,Induction(oohm)
63.90528922,2974.916922,Deep_RES,100021806218W500,Induction(oohm)
66.18371397,2974.842897,Deep_RES,100021806218W500,Induction(oohm)
68.54337174,2974.779449,Deep_RES,100021806218W500,Induction(oohm)
72.35666128,2974.673701,Deep_RES,100021806218W500,Induction(oohm)
74.6981297,2974.589098,Deep_RES,100021806218W500,Induction(oohm)
78.3531645,2974.44104,Deep_RES,100021806218W500,Induction(oohm)
82.44920557,2974.335291,Deep_RES,100021806218W500,Induction(oohm)
86.48350626,2974.22954,Deep_RES,100021806218W500,Induction(oohm)
91.00457437,2974.102637,Deep_RES,100021806218W500,Induction(oohm)
93.05614752,2974.028608,Deep_RES,100021806218W500,Induction(oohm)
98.5465092,2973.944014,Deep_RES,100021806218W500,Induction(oohm)
104.0289703,2973.848843,Deep_RES,100021806218W500,Induction(oohm)
107.7379306,2973.764242,Deep_RES,100021806218W500,Induction(oohm)
111.2243403,2973.690215,Deep_RES,100021806218W500,Induction(oohm)
115.5572742,2973.584461,Deep_RES,100021806218W500,Induction(oohm)
120.4419728,2973.468131,Deep_RES,100021806218W500,Induction(oohm)
127.1425495,2973.362383,Deep_RES,100021806218W500,Induction(oohm)
132.5169669,2973.288361,Deep_RES,100021806218W500,Induction(oohm)
139.0011202,2973.18261,Deep_RES,100021806218W500,Induction(oohm)
144.416146,2973.119164,Deep_RES,100021806218W500,Induction(oohm)
150.5207323,2973.034564,Deep_RES,100021806218W500,Induction(oohm)
155.8872703,2972.939386,Deep_RES,100021806218W500,Induction(oohm)
161.9601248,2972.812478,Deep_RES,100021806218W500,Induction(oohm)
168.2695578,2972.7173,Deep_RES,100021806218W500,Induction(oohm)
